MYA,best estimate O2 percent,mean -1stdev ,mean + 1stdev,SOURCE,Dataset,min/max,NOTES,NOTES cont
380,18.7,17.1,20.1,GlasspoolScott2010,charcoal,,,
390,15.7,,,GlasspoolScott2010,charcoal,,,
400,14.8,15.9,,GlasspoolScott2010,charcoal,,,
2415,0.000032,2421,2409,JohnsonGerpheideLambFischer2014,uranite/pyrite,max,B,
1500,0.21,0.0021,0.63,KrauseMillsMerdithLentonPoulton2022,d13C,,C,
1400,0.42,0.0021,0.63,KrauseMillsMerdithLentonPoulton2022,d13C,,C,
1300,0.21,0.042,0.42,KrauseMillsMerdithLentonPoulton2022,d13C,,C,
1200,1.05,0.105,1.68,KrauseMillsMerdithLentonPoulton2022,d13C,,C,
1100,0.21,0.063,0.42,KrauseMillsMerdithLentonPoulton2022,d13C,,C,
1000,0.315,0.0021,1.05,KrauseMillsMerdithLentonPoulton2022,d13C,,C,
900,0.42,0.105,0.63,KrauseMillsMerdithLentonPoulton2022,d13C,,C,
800,0.315,0.0021,0.42,KrauseMillsMerdithLentonPoulton2022,d13C,,C,
700,0.147,0.0021,0.42,KrauseMillsMerdithLentonPoulton2022,d13C,,C,
600,1.26,0.105,2.1,KrauseMillsMerdithLentonPoulton2022,d13C,,C,
500,0.63,0.21,1.47,KrauseMillsMerdithLentonPoulton2022,d13C,,C,
400,12.6,4.2,15.75,KrauseMillsMerdithLentonPoulton2022,d13C,,C,
850,4.2525,0.105,8.4,SperlingWolockMorgan2015,Fe spec,,D,
800,4.2525,0.105,8.4,SperlingWolockMorgan2015,Fe spec,,D,
750,4.2525,0.105,8.4,SperlingWolockMorgan2016,Fe spec,,D,
700,4.2525,0.105,8.4,SperlingWolockMorgan2016,Fe spec,,D,
650,4.2525,0.105,8.4,SperlingWolockMorgan2017,Fe spec,,D,
600,4.2525,0.105,8.4,SperlingWolockMorgan2017,Fe spec,,D,
1900,0.013125,0.0105,0.01575,BellefroidHoodHoffman2019,Ce,,E,
1875,0.0021,0.0021,0.0021,BellefroidHoodHoffman2019,Ce,,E,
1600,0.01155,0.0105,0.0126,BellefroidHoodHoffman2019,Ce,,E,
1550,0.01575,0.0105,0.021,BellefroidHoodHoffman2019,Ce,,E,
1450,0.0126,0.0063,0.0189,BellefroidHoodHoffman2020,Ce,,E,
1050,0.01575,0.0105,0.021,BellefroidHoodHoffman2020,Ce,,E,
750,0.011025,0.00525,0.0168,BellefroidHoodHoffman2021,Ce,,E,
650,0.00945,0.0021,0.0168,BellefroidHoodHoffman2021,Ce,,E,
550,0.081375,0.01575,0.147,BellefroidHoodHoffman2022,Ce,,E,
500,0.0168,0.0105,0.0231,BellefroidHoodHoffman2022,Ce,,E,
1390,0.84,0.21,0.84,CanfieldZhangFrank2018,Cr,min,quoted higher for this age,
1100,0.21,0.21,0.84,CanfieldZhangFrank2018,Cr,min,quoted higher for this age,
1400,0.84,0.798,1.302,ZhangWangBjerrum2015,Cr,min, lower range preferred,
2550,0.00021,2750,2300,ClaireKasting2014,MIFS,max,A F,
2950,0.00021,3100,2850,ClaireKasting2014,MIFS,max,A F,
3350,0.00021,3550,3200,ClaireKasting2014,MIFS,max,A F,
3750,0.00021,3825,3675,ClaireKasting2014,MIFS,max,A F,
2320,0.00021,2350,2250,IzonLuoUveges2022,MIFS,min,A G,2321
2321,0.00021,2319,2309,LuoOnoBeukes2016,MIFS,min,A H * reports as END of GOE signal in text with age range ± 7 myr,
